workload	timestamp	pit
16000	158600	22307.916
14000	158650	17419.2
19000	158700	8742.9
12000	158750	3776.4285
14000	158800	5968.923
20000	158850	20805.555
18000	158900	12553.363
20000	158950	6244.222
14000	159000	17490.133
17000	159050	115940.336
17000	159100	5062.25
17000	159150	6083.25
12000	159200	3197
15000	159250	5283.4287
17000	159300	23699.4
15000	159350	5212.4287
18000	159400	13701.909
18000	159450	8376.857
17000	159500	12884.25
15000	159550	5773.8
16000	159600	4798
19000	159650	7027.385
15000	159700	2031.4286
12000	159750	20851.666
19000	159800	5738.6
18000	159850	4277.727
14000	159900	6547.846
14000	159950	14285.333
14000	160000	6936.5557
10000	160050	6560.2856
11000	160100	5122.5
20000	160150	16716.555
11000	160200	11646.454
18000	160250	10140.5
11000	160300	2752.4
10000	160350	2639.889
16000	160400	13636.333
15000	160450	6494.769
11000	160500	9447.308
11000	160550	5092
13000	160600	8540.538
18000	160650	11969.23
16000	160700	13295.286
10000	160750	4597.5835
12000	160800	9738.5
20000	160850	17823
11000	160900	8322.308
17000	160950	1828.8889
12000	161000	13217.9
14000	161050	3078.8572
16000	161100	6863.125
18000	161150	20049.166
11000	161200	10734.25
13000	161250	5203.2856
11000	161300	8543.182
10000	161350	8212.125
19000	161400	5582
14000	161450	4577.3335
18000	161500	5778.8184
12000	161550	11924.286
11000	161600	18693.385
18000	161650	27156.5
11000	161700	3131
13000	161750	7951.4287
15000	161800	21850.8
18000	161850	6976.4116
13000	161900	18010
13000	161950	15604.5
19000	162000	6955.6665
19000	162050	4443.1665
14000	162100	10576.363
19000	162150	9525.5
11000	162200	2889.6365
15000	162250	23393.4
11000	162300	30085.445
14000	162350	7269.25
14000	162400	6456.3125
15000	162450	6225.2856
13000	162500	7204.375
19000	162550	5471.9
14000	162600	5631.75
17000	162650	12260.25
15000	162700	5326.84
12000	162750	3037.5715
14000	162800	4522.4546
12000	162850	2654.5557
12000	162900	3101.6
16000	162950	5210.778
12000	163000	12372.556
11000	163050	17115.75
19000	163100	4613.231
16000	163150	13848.5
19000	163200	3895.0833
20000	163250	2657.8462
16000	163300	26571
17000	163350	11005
16000	163400	3078.0833
17000	163450	2142.5
15000	163500	2645.4546
11000	163550	8828.5
15000	163600	3035.2222
16000	163650	5002.5454
13000	163700	2777.8572
15000	163750	9397.2
19000	163800	5384.2856
19000	163850	5422.4
12000	163900	5685.8237
11000	163950	12467.875
15000	164000	8483.625
16000	164050	2694.25
12000	164100	9276.4
17000	164150	12903.25
17000	164200	3893.3
19000	164250	3783.5715
20000	164300	7230.3335
13000	164350	6984.1665
11000	164400	21347
11000	164450	3319
12000	164500	7382.857
14000	164550	14394.143
12000	164600	3944.6667
19000	164650	11254.444
16000	164700	16517.143
17000	164750	4808.846
10000	164800	5784.273
12000	164850	11989.2
17000	164900	18050.285
13000	164950	32474.25
12000	165000	33368.11
17000	165050	3666.2
12000	165100	2041.3334
18000	165150	10643
17000	165200	16602.428
11000	165250	5467.3335
14000	165300	7567.7
12000	165350	12947.667
18000	165400	30434.625
16000	165450	10875.363
12000	165500	2628
17000	165550	3264.2666
19000	165600	4012.4
12000	165650	2901.1428
14000	165700	8938.667
20000	165750	2210.6
11000	165800	10062.833
17000	165850	9620.454
11000	165900	7043.727
11000	165950	2229
14000	166000	8273.125
12000	166050	9067.2
16000	166100	2674.8
13000	166150	5353
17000	166200	7070.0557
14000	166250	2521.7144
16000	166300	18918.3
18000	166350	3529.625
12000	166400	31132.75
10000	166450	5770.5835
17000	166500	15287.7
11000	166550	12263.167
16000	166600	5219.6
11000	166650	14291.182
12000	166700	6827.727
13000	166750	2867.8462
11000	166800	11013.235
15000	166850	7109.1
11000	166900	10292.182
17000	166950	14968.363
13000	167000	7524.2
20000	167050	4727.1
12000	167100	6792.4
13000	167150	5779.375
17000	167200	20065.5
13000	167250	7823.6924
18000	167300	3521.2
18000	167350	13920.143
14000	167400	14359.772
11000	167450	4261.0713
19000	167500	6249.3335
12000	167550	16744.727
15000	167600	1805.1818
11000	167650	9255.952
10000	167700	17590.6
15000	167750	23480.727
16000	167800	8033.1113
13000	167850	7009.4287
15000	167900	7143.222
13000	167950	1297.6364
19000	168000	4292.727
12000	168050	4247.8335
10000	168100	13550
15000	168150	12598.8
12000	168200	3763.6667
16000	168250	6913.778
13000	168300	31862.25
14000	168350	4155.2
18000	168400	5106.5
18000	168450	9228.214
16000	168500	3096.3333
16000	168550	6839.9165
18000	168600	2717.6667
11000	168650	446.16666
10000	168700	12046.546
14000	168750	18390.646
15000	168800	4388.6665
14000	168850	16264.5
17000	168900	26434.7
20000	168950	2362.5454
17000	169000	5371.4443
14000	169050	3487.9285
15000	169100	14825.333
13000	169150	5678.8887
